shrink,  as  to shrink finnel by imersing it in boiling water . ,when something shrinks in size  .   it gets smaller . 
solve,to explain ;  to resolve ;  to unfold ;  to clear up  ;  to work out to a result or conclusion ;  as  to solve a doubt ;  to solve difficulties ;  to solve a problem . ,if you solve something  .   you find an answer or a solution for a problem . 
solve,to explain ;  to resolve ;  to unfold ;  to clear up  ;  to work out to a result or conclusion ;  as  to solve a doubt ;  to solve difficulties ;  to solve a problem . ,if you solve something  .   you find an answer or a solution for a problem . 
source,  a spring ,a source is the person  .   place or thing that gives you something . 
source,  a spring ,a source is the person  .   place or thing that gives you something . 
state,a person of high rank . ,if you state something  .   you say or write it in a clear and specific way . 
state,a person of high rank . ,if you state something  .   you say or write it in a clear and specific way . 
structure,manner of organization ,something that has been built by people is a structure . 
structure,manner of organization ,something that has been built by people is a structure . 
subtle,  refined ,something subtle needs to be looked at carefully to be seen . 
